City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,santa elena de uairen,4.6167,-61.1333,20.45,89,100,0.6,VE,2024-04-25
222,berea,41.3662,-81.8543,4.51,75,100,5.14,US,2024-04-25
223,tionk essil,12.7856,-16.5217,23.07,68,100,5.03,SN,2024-04-25
224,la sarre,48.8002,-79.1996,-8.63,94,40,1.4,CA,2024-04-25
225,mount pearl,47.5166,-52.7813,10.19,98,100,12.86,CA,2024-04-25
226,kapuskasing,49.4169,-82.4331,-2.95,59,40,2.06,CA,2024-04-25
227,palmer,42.1584,-72.3287,7.23,53,0,7.72,US,2024-04-25
228,puerto cortez,15.8333,-87.95,28.19,87,43,3.69,HN,2024-04-25
229,queenstown,-31.8976,26.8753,13.65,85,81,0.5,ZA,2024-04-25
230,saldanha,-33.0117,17.9442,13.03,91,71,4.39,ZA,2024-04-25
231,ilinge,-31.9768,27.0427,14.98,78,98,0.35,ZA,2024-04-25
232,kununurra,-15.7667,128.7333,33.99,43,9,5.14,AU,2024-04-25
233,badiyah,22.45,58.8,26.02,68,0,3.03,OM,2024-04-25
234,novosergiyevka,52.0934,53.6528,12.59,94,68,3.37,RU,2024-04-25
235,ornskoldsvik,63.2909,18.7153,-1.47,100,100,2.57,SE,2024-04-25
236,portland,45.5234,-122.6762,15.97,67,100,2.57,US,2024-04-25
237,fengxiang,47.5833,130.8333,20.72,41,45,9.12,CN,2024-04-25
238,kingman,35.1894,-114.053,24.71,12,20,9.26,US,2024-04-25
239,nha trang,12.25,109.1833,34.0,53,64,3.46,VN,2024-04-25
240,ratchaburi,13.5833,99.5333,34.98,30,47,0.72,TH,2024-04-25
241,west island,-12.1568,96.8225,27.99,83,75,7.2,CC,2024-04-25
242,mantua,45.1667,10.7833,8.53,90,77,0.45,IT,2024-04-25
243,arica,-18.475,-70.3042,20.75,77,0,1.54,CL,2024-04-25
244,kargasok,59.0556,80.8572,-2.39,81,12,4.14,RU,2024-04-25
245,arkhangel'sk,64.5401,40.5433,1.06,100,100,0.0,RU,2024-04-25
246,antsiranana,-12.2787,49.2917,25.62,79,99,5.33,MG,2024-04-25
247,princeville,45.7668,-61.2985,4.95,96,40,0.0,CA,2024-04-25
248,verdun,49.25,5.3333,-0.97,95,40,1.81,FR,2024-04-25
249,troitskoye,52.9821,84.6757,0.09,51,62,1.7,RU,2024-04-25
250,ubari,26.5921,12.7805,19.4,26,0,4.57,LY,2024-04-25
251,as saff,29.5647,31.2811,24.62,38,97,3.59,EG,2024-04-25
252,port alfred,-33.5906,26.891,17.32,90,99,0.45,ZA,2024-04-25
253,banfora,10.6333,-4.7667,27.36,67,100,1.67,BF,2024-04-25
254,orange cove,36.6244,-119.3137,18.67,78,0,3.6,US,2024-04-25
255,anloga,5.7947,0.8973,28.56,81,54,3.72,GH,2024-04-25
256,taoudenni,22.6783,-3.9836,29.4,14,0,4.21,ML,2024-04-25
257,cerasu,45.3167,26.0333,7.96,84,100,2.77,RO,2024-04-25
258,klyuchi,52.2667,79.1667,2.28,45,3,4.88,RU,2024-04-25
259,cidreira,-30.1811,-50.2056,17.4,71,72,2.9,BR,2024-04-25
260,kaluga,54.5,35.5,10.63,86,94,6.49,RU,2024-04-25
261,la junta,37.985,-103.5438,21.16,52,0,7.2,US,2024-04-25
262,buguruslan,53.6554,52.442,11.41,86,100,2.81,RU,2024-04-25
263,mossel bay,-34.1831,22.146,13.96,81,90,2.67,ZA,2024-04-25
264,rio grande,-32.035,-52.0986,11.64,68,100,1.78,BR,2024-04-25
265,ambovombe,-25.1667,46.0833,20.88,93,11,3.85,MG,2024-04-25
266,colonia,50.9333,6.95,4.98,89,75,4.63,DE,2024-04-25
267,hilo,19.7297,-155.09,25.85,78,100,4.12,US,2024-04-25
268,bogale,16.2833,95.4,33.91,47,0,3.26,MM,2024-04-25
